piece,base_diameter,height,weight
Knight,32.5113,57.3929,36.6844
Knight,33.1492,57.0154,35.8534
Knight,32.6714,58.6347,35.5556
Knight,33.7670,57.6750,37.0703
Knight,33.5817,60.2205,35.7332
Knight,32.2639,58.0509,36.1949
Knight,33.2228,58.2421,36.4933
Knight,33.1013,57.2060,36.1741
Knight,32.5706,58.0272,35.7569
Knight,32.6066,58.5386,35.8060
Knight,32.6001,58.2399,36.0825
Knight,32.5609,58.7188,36.6064
Knight,32.5246,58.0515,36.2904
Knight,32.8170,59.4493,36.7869
Knight,32.4293,59.1107,36.1332
Knight,32.9216,57.2684,36.5649
Pawn,26.9624,45.8563,16.1868
Pawn,26.6241,45.5850,15.9781
Pawn,26.8643,45.6050,16.0608
Pawn,26.9732,45.4377,15.5221
Pawn,27.0854,45.7236,15.9738
Pawn,26.8645,45.8514,15.9394
Pawn,27.0910,46.3200,16.0703
Pawn,26.5115,45.1574,16.0753
Pawn,27.1175,45.5251,15.8799
Pawn,27.2141,44.5999,16.3686
Pawn,27.3890,45.2089,15.8706
Pawn,27.1482,45.8694,15.9371
Pawn,27.8217,45.9068,15.9974
Pawn,27.5727,45.4199,15.8584
Pawn,27.4874,45.6715,15.6288
Pawn,27.6523,45.4405,16.2926
Pawn,26.9195,45.3629,15.8346
Pawn,27.6798,46.1202,15.9396
Pawn,27.2590,45.4617,15.9495
Pawn,27.0574,44.9810,15.9700
Pawn,27.8047,46.3819,15.6441
Pawn,27.0347,45.2988,15.9724
Pawn,26.9718,46.0306,15.6924
Pawn,27.7476,45.4953,16.2108
Pawn,27.1112,45.7127,16.1226
